id,title,designer,notes,description,url,img_url,img_id
62176,Organza Gold Collection (10 Years Anniversary Limited Edition) Givenchy for women,givenchy perfumes and colognes,"['Tuberose', 'Ylang-Ylang', 'Jasmine', 'Honeysuckle', 'Vanilla', 'Amber', 'Sandalwood', 'Cedar']","Organza Gold Collection (10 Years Anniversary Limited Edition) by Givenchy is a fragrance for women. Organza Gold Collection (10 Years Anniversary Limited Edition) was launched in 2006. The nose behind this fragrance is Sophie Labbe. Top notes are Tuberose and Ylang-Ylang; middle notes are Jasmine and Honeysuckle; base notes are Vanilla, Amber, Sandalwood and Cedar.",https://www.fragrantica.com/perfume/Givenchy/Organza-Gold-Collection-10-Years-Anniversary-Limited-Edition-40467.html,https://fimgs.net/mdimg/perfume/375x500.40467.jpg,40467
21253,Idols Oud S''Ram for women and men,s''ram perfumes and colognes,"['Lady of the Night Flower', 'Pineapple', 'Fruity Notes', 'Ylang-Ylang', 'Jasmine', 'White Flowers', 'Amyl Salicylate', 'Orange Blossom', 'Vanilla', 'Agarwood (Oud)', 'Musk']","Idols Oud by S''Ram is a Amber Woody fragrance for women and men. Idols Oud was launched in 2021. Top notes are Lady of the Night Flower, Pineapple, Fruity Notes and Ylang-Ylang; middle notes are Jasmine, White Flowers, Amyl Salicylate and Orange Blossom; base notes are Vanilla, Agarwood (Oud) and Musk.",https://www.fragrantica.com/perfume/S-Ram/Idols-Oud-71090.html,https://fimgs.net/mdimg/perfume/375x500.71090.jpg,71090
6622,Demi-Lune № 6 CIEL Parfum for men,ciel parfum perfumes and colognes,"['Rosemary', 'Bergamot', 'Nutmeg', 'White Pepper', 'Cashmere Wood', 'Oakmoss', 'Iris']","Demi-Lune № 6 by CIEL Parfum is a Woody fragrance for men. Top notes are Rosemary and Bergamot; middle notes are Nutmeg and White Pepper; base notes are Cashmere Wood, Oakmoss and Iris.",https://www.fragrantica.com/perfume/CIEL-Parfum/Demi-Lune-6-34179.html,https://fimgs.net/mdimg/perfume/375x500.34179.jpg,34179
34244,Vibrant Spirit Zara for women,zara perfumes and colognes,"['Mandarin Orange', 'Ylang-Ylang', 'Ambroxan']",Vibrant Spirit by Zara is a Amber Floral fragrance for women. Vibrant Spirit was launched in 2021. Top note is Mandarin Orange; middle note is Ylang-Ylang; base note is Ambroxan.,https://www.fragrantica.com/perfume/Zara/Vibrant-Spirit-66924.html,https://fimgs.net/mdimg/perfume/375x500.66924.jpg,66924
16639,Evoke for Him Ajmal for men,ajmal perfumes and colognes,"['Lavender', 'Green Apple', 'Bergamot', 'Cardamom', 'Orris', 'Heliotrope', 'Juniper', 'Sandalwood', 'Musk', 'Vetiver']","Evoke for Him by Ajmal is a Aromatic fragrance for men. Top notes are Lavender, Green Apple and Bergamot; middle notes are Cardamom, Orris, Heliotrope and Juniper; base notes are Sandalwood, Musk and Vetiver.",https://www.fragrantica.com/perfume/Ajmal/Evoke-for-Him-32527.html,https://fimgs.net/mdimg/perfume/375x500.32527.jpg,32527
7366,Emanuel Ungaro Fresh For Her Emanuel Ungaro for women,emanuel ungaro perfumes and colognes,"['Nashi Pear', 'Bergamot', 'Citron', 'Jasmine', 'Peony', 'Lily-of-the-Valley', 'Tonka Bean', 'Patchouli', 'Sandalwood']","Emanuel Ungaro Fresh For Her by Emanuel Ungaro is a Amber Floral fragrance for women. Emanuel Ungaro Fresh For Her was launched in 2020. Top notes are Nashi Pear, Bergamot and Citron; middle notes are Jasmine, Peony and Lily-of-the-Valley; base notes are Tonka Bean, Patchouli and Sandalwood.",https://www.fragrantica.com/perfume/Emanuel-Ungaro/Emanuel-Ungaro-Fresh-For-Her-61860.html,https://fimgs.net/mdimg/perfume/375x500.61860.jpg,61860
23044,Shield-Maiden Poesie for women and men,poesie perfumes and colognes,"['Pink Rose', 'Pine', 'Peony', 'Metallic notes', 'Earthy Notes', 'Mountain Air']",Shield-Maiden by Poesie is a fragrance for women and men. Shield-Maiden was launched in 2017. The nose behind this fragrance is Joelle Nealy.,https://www.fragrantica.com/perfume/Poesie/Shield-Maiden-54249.html,https://fimgs.net/mdimg/perfume/375x500.54249.jpg,54249
43790,Louve Prima Materia for women,prima materia perfumes and colognes,"['Grapefruit', 'Mandarin Orange', 'Pear', 'Exotic Fruits', 'White Flowers', 'Tuberose', 'Musk', 'Amberwood', 'Sandalwood']","Louve by Prima Materia is a fragrance for women. Louve was launched in 2021. The nose behind this fragrance is Gerard Anthony. Top notes are Grapefruit, Mandarin Orange and Pear; middle notes are Exotic Fruits, White Flowers and Tuberose; base notes are Musk, Amberwood and Sandalwood.",https://www.fragrantica.com/perfume/Prima-Materia/Louve-67475.html,https://fimgs.net/mdimg/perfume/375x500.67475.jpg,67475
49374,Ottoman Empire III Areej Le Doré for women and men,areej le doré perfumes and colognes,"['Rose', 'Bulgarian Rose', 'Rose Oil', 'White Rose', 'Pepper', 'Cardamom', 'Frangipani', 'Jasmine', 'Agarwood (Oud)', 'Indian Oud', 'Frangipani', 'Saffron', 'Nutmeg', 'Vetiver', 'Myrrh', 'Amber', 'Sandalwood', 'Oakmoss']","Ottoman Empire III by Areej Le Doré is a Amber Floral fragrance for women and men. Ottoman Empire III was launched in 2021. The nose behind this fragrance is Russian Adam. Top notes are Rose, Bulgarian Rose, Rose Oil, White Rose, Pepper, Cardamom, Frangipani and Jasmine; middle notes are Agarwood (Oud), Indian Oud, Frangipani, Saffron, Nutmeg and Vetiver; base notes are Myrrh, Amber, Sandalwood and Oakmoss.",https://www.fragrantica.com/perfume/Areej-Le-Dore/Ottoman-Empire-III-67898.html,https://fimgs.net/mdimg/perfume/375x500.67898.jpg,67898
36315,Bûche de Noël (Рождественское Полено) Odoratika for women,odoratika perfumes and colognes,"['Amaretto', 'Chocolate', 'Vanilla', 'Coffee', 'Heliotrope', 'Cacao Pod', 'French pastries', 'Sandalwood', 'Tonka Bean', 'Cinnamon', 'Amber', 'Musk']",Bûche de Noël (Рождественское Полено) by Odoratika is a Amber Vanilla fragrance for women. Bûche de Noël (Рождественское Полено) was launched in 2018.,https://www.fragrantica.com/perfume/Odoratika/Buche-de-Noel-Rozdestvenskoe-Poleno-51139.html,https://fimgs.net/mdimg/perfume/375x500.51139.jpg,51139
